ID,year,team,Wins,Losses,Championship,attendance,salary
0,1985,ATL,66,96,N,1350137,14807000
1,1985,BAL,83,78,N,2132387,11560712
2,1985,BOS,81,81,N,1786633,10897560
3,1985,CAL,90,72,N,2567427,14427894
4,1985,CHA,85,77,N,1669888,9846178
5,1985,CHN,77,84,N,2161534,12702917
6,1985,CIN,89,72,N,1834619,8359917
7,1985,CLE,60,102,N,655181,6551666
8,1985,DET,84,77,N,2286609,10348143
9,1985,HOU,83,79,N,1184314,9993051
10,1985,KCA,91,71,Y,2162717,9321179
11,1985,LAN,95,67,N,3264593,10967917
12,1985,MIN,77,85,N,1651814,5764821
13,1985,ML4,71,90,N,1360265,11284107
14,1985,MON,84,77,N,1502494,9470166
15,1985,NYA,97,64,N,2214587,14238204
16,1985,NYN,98,64,N,2761601,10834762
17,1985,OAK,77,85,N,1334599,9058606
18,1985,PHI,75,87,N,1830350,10124966
19,1985,PIT,57,104,N,735900,9227500
20,1985,SDN,83,79,N,2210352,11036583
21,1985,SEA,74,88,N,1128696,4613000
22,1985,SFN,62,100,N,818697,8221714
23,1985,SLN,101,61,N,2637563,11817083
24,1985,TEX,62,99,N,1112497,7676500
25,1985,TOR,99,62,N,2468925,8812550
26,1986,ATL,72,89,N,1387181,17102786
27,1986,BAL,73,89,N,1973176,13001258
28,1986,BOS,95,66,N,2147641,14402239
29,1986,CAL,92,70,N,2655872,14427258
30,1986,CHA,72,90,N,1424313,10418819
31,1986,CHN,70,90,N,1859102,17208165
32,1986,CIN,86,76,N,1692432,11906388
33,1986,CLE,84,78,N,1471805,7809500
34,1986,DET,87,75,N,1899437,12335714
35,1986,HOU,96,66,N,1734276,9873276
36,1986,KCA,76,86,N,2320794,13043698
37,1986,LAN,73,89,N,3023208,14913776
38,1986,MIN,71,91,N,1255453,8748167
39,1986,ML4,77,84,N,1265041,9943642
40,1986,MON,78,83,N,1128981,11103600
41,1986,NYA,90,72,N,2268030,18494253
42,1986,NYN,108,54,Y,2767601,15393714
43,1986,OAK,76,86,N,1314646,9779421
44,1986,PHI,86,75,N,1933335,11590166
45,1986,PIT,64,98,N,1000917,10843500
46,1986,SDN,74,88,N,1805716,11380693
47,1986,SEA,67,95,N,1029045,5958309
48,1986,SFN,83,79,N,1528748,8947000
49,1986,SLN,79,82,N,2471974,9875010
50,1986,TEX,87,75,N,1692002,6743119
51,1986,TOR,86,76,N,2455477,12611047
52,1987,ATL,69,92,N,1217402,16544560
53,1987,BAL,67,95,N,1835692,13900273
54,1987,BOS,78,84,N,2231551,10144167
55,1987,CAL,75,87,N,2696299,12843499
56,1987,CHA,77,85,N,1208060,10641843
57,1987,CHN,76,85,N,2035130,14307999
58,1987,CIN,84,78,N,2185205,9281500
59,1987,CLE,61,101,N,1077898,8513750
60,1987,DET,98,64,N,2061830,12122881
61,1987,HOU,76,86,N,1909902,12608371
62,1987,KCA,83,79,N,2392471,11828056
63,1987,LAN,73,89,N,2797409,13675403
64,1987,MIN,85,77,Y,2081976,6397500
65,1987,ML4,91,71,N,1909244,7293224
66,1987,MON,91,71,N,1850324,6942052
67,1987,NYA,89,73,N,2427672,17099714
68,1987,NYN,92,70,N,3034129,13846714
69,1987,OAK,81,81,N,1678921,11680839
70,1987,PHI,80,82,N,2100110,11514233
71,1987,PIT,80,82,N,1161193,7652000
72,1987,SDN,65,97,N,1454061,11065796
73,1987,SEA,78,84,N,1134255,2263500
74,1987,SFN,90,72,N,1917168,7290000
75,1987,SLN,95,67,N,3072122,11758000
76,1987,TEX,75,87,N,1763053,880000
77,1987,TOR,96,66,N,2778429,10479501
78,1988,ATL,54,106,N,848089,12728174
79,1988,BAL,54,107,N,1660738,13532075
80,1988,BOS,89,73,N,2464851,13896092
81,1988,CAL,75,87,N,2340925,11947388
82,1988,CHA,71,90,N,1115749,6390000
83,1988,CHN,77,85,N,2089034,13119198
84,1988,CIN,87,74,N,2072528,8888409
85,1988,CLE,78,84,N,1411610,8936500
86,1988,DET,88,74,N,2081162,12869571
87,1988,HOU,82,80,N,1933505,12286167
88,1988,KCA,84,77,N,2350181,14556562
89,1988,LAN,94,67,Y,2980262,16850515
90,1988,MIN,91,71,N,3030672,12462666
91,1988,ML4,87,75,N,1923238,8402000
92,1988,MON,81,81,N,1478659,9603333
93,1988,NYA,85,76,N,2633701,19441152
94,1988,NYN,100,60,N,3055445,15269314
95,1988,OAK,104,58,N,2287335,9690000
96,1988,PHI,65,96,N,1990041,13838000
97,1988,PIT,85,75,N,1866713,5998500
98,1988,SDN,83,78,N,1506896,9561002
99,1988,SEA,68,93,N,1022398,7342450
100,1988,SFN,83,79,N,1785297,12380000
101,1988,SLN,76,86,N,2892799,12880000
102,1988,TEX,70,91,N,1581901,5342131
103,1988,TOR,87,75,N,2595175,12241225
104,1989,ATL,63,97,N,984930,11112334
105,1989,BAL,87,75,N,2535208,8275167
106,1989,BOS,83,79,N,2510012,17481748
107,1989,CAL,91,71,N,2647291,15097833
108,1989,CHA,69,92,N,1045651,7265410
109,1989,CHN,93,69,N,2491942,10668000
110,1989,CIN,75,87,N,1979320,11072000
111,1989,CLE,73,89,N,1285542,9094500
112,1989,DET,59,103,N,1543656,15146404
113,1989,HOU,86,76,N,1834908,15029500
114,1989,KCA,92,70,N,2477700,18683568
115,1989,LAN,77,83,N,2944653,21071562
116,1989,MIN,80,82,N,2277438,15531666
117,1989,ML4,81,81,N,1970735,11533000
118,1989,MON,81,81,N,1783533,13807389
119,1989,NYA,74,87,N,2170485,17114375
120,1989,NYN,87,75,N,2918710,19885071
121,1989,OAK,99,63,Y,2667225,15613070
122,1989,PHI,67,95,N,1861985,10604000
123,1989,PIT,74,88,N,1374141,12737500
124,1989,SDN,89,73,N,2009031,14195000
125,1989,SEA,73,89,N,1298443,9779500
126,1989,SFN,92,70,N,2059701,14962834
127,1989,SLN,86,76,N,3080980,16078833
128,1989,TEX,83,79,N,2043993,11893781
129,1989,TOR,89,73,N,3375883,16261666
130,1990,ATL,65,97,N,980129,14555501
131,1990,BAL,76,85,N,2415189,9680084
132,1990,BOS,88,74,N,2528986,20558333
133,1990,CAL,80,82,N,2555688,21720000
134,1990,CHA,94,68,N,2002357,9491500
135,1990,CHN,77,85,N,2243791,13624000
136,1990,CIN,91,71,Y,2400892,14370000
137,1990,CLE,77,85,N,1225240,14487000
138,1990,DET,79,83,N,1495785,17593238
139,1990,HOU,75,87,N,1310927,18330000
140,1990,KCA,75,86,N,2244956,23361084
141,1990,LAN,86,76,N,3002396,21318704
142,1990,MIN,74,88,N,1751584,14602000
143,1990,ML4,74,88,N,1752900,19719167
144,1990,MON,85,77,N,1373087,16586388
145,1990,NYA,67,95,N,2006436,20912318
146,1990,NYN,91,71,N,2732745,21722834
147,1990,OAK,103,59,N,2900217,19887501
148,1990,PHI,77,85,N,1992484,13173667
149,1990,PIT,95,67,N,2049908,15556000
150,1990,SDN,75,87,N,1856396,17588334
151,1990,SEA,77,85,N,1509727,12553667
152,1990,SFN,85,77,N,1975528,19335333
153,1990,SLN,70,92,N,2573225,20523334
154,1990,TEX,83,79,N,2057911,14874372
155,1990,TOR,86,76,N,3885284,17756834
156,1991,ATL,94,68,N,2140217,18403500
157,1991,BAL,67,95,N,2552753,17519000
158,1991,BOS,84,78,N,2562435,35167500
159,1991,CAL,81,81,N,2416236,33060001
160,1991,CHA,87,75,N,2934154,16919667
161,1991,CHN,77,83,N,2314250,23175667
162,1991,CIN,74,88,N,2372377,26305333
163,1991,CLE,57,105,N,1051863,17635000
164,1991,DET,84,78,N,1641661,23838333
165,1991,HOU,65,97,N,1196152,12852500
166,1991,KCA,82,80,N,2161537,26319834
167,1991,LAN,93,69,N,3348170,32790664
168,1991,MIN,95,67,Y,2293842,23361833
169,1991,ML4,83,79,N,1478729,23115500
170,1991,MON,71,90,N,934742,10732333
171,1991,NYA,71,91,N,1863733,27344168
172,1991,NYN,77,84,N,2284484,32590001
173,1991,OAK,84,78,N,2713493,36999167
174,1991,PHI,78,84,N,2050012,22487332
175,1991,PIT,98,64,N,2065302,23634667
176,1991,SDN,84,78,N,1804289,22150001
177,1991,SEA,83,79,N,2147905,15691833
178,1991,SFN,75,87,N,1737478,30967666
